samples,kingdom,phylum,class,order,family,genus,oxygenstat,metabolism,gram,mtype,genes,file,reads,relative
ERR260132,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,1793,0.00015540649937196042
ERR260134,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,72143,0.0027747261802605425
ERR260138,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,46084,0.004698816985850223
ERR260139,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,4788,0.0007146960951889223
ERR260140,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,2887,0.0005229664133108444
ERR260143,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,2477,0.0003222172082200905
ERR260150,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,644,4.8285254890287895e-05
ERR260151,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,935,0.0002623240394872032
ERR260152,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,2012,0.0005100058224819784
ERR260154,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,580,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml,7135,0.0007692929728564117
