abbreviation,fullName,chargedFormula,charge,avgmolweight,monoisotopicweight,keggId,pubChemId,cheBlId,hmdb,pdmapName,reconMap,reconMap3,food_db,chemspider,biocyc,biggId,wikipedia,drugbank,seed,metanetx,knapsack,metlin,casRegistry,epa_id,inchiKey,inchiString,smile
10fthf,10-Formyltetrahydrofolate,C20H21N7O7,-2,473.4393,473.1658961,C00234,122347,15637,HMDB0000972,,10fthf,10fthf,FDB022345,109092,10-FORMYL-THF,10fthf,10-formyl-tetrahydrofolate,,cpd00201,MNXM237,,5912,2800-34-2,,AUFGTPPARQZWDO-YUZLPWPTSA-L,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/p-2/t11?,13-/m0/s1",[H]OC1=NC(=NC2=C1N([H])C([H])(C([H])([H])N(C([H])=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])[C@]([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])N2[H])N([H])[H]
10fthf5glu,10-Formyltetrahydrofolate-[Glu](5),C40H45N11O19,-6,0,0,,,,,,10fthf5glu,10fthf5glu,,,,10fthf5glu,,,,MNXM3428,,,,,RGSLBOWMZCMTRA-UHFFFAOYSA-H,"InChI=1S/C40H51N11O19/c41-40-49-32-31(37(66)50-40)43-19(15-42-32)16-51(17-52)20-3-1-18(2-4-20)33(62)47-24(38(67)68)5-10-26(53)44-21(6-11-27(54)55)34(63)45-22(7-12-28(56)57)35(64)46-23(8-13-29(58)59)36(65)48-25(39(69)70)9-14-30(60)61/h1-4,17,19,21-25,43H,5-16H2,(H,44,53)(H,45,63)(H,46,64)(H,47,62)(H,48,65)(H,54,55)(H,56,57)(H,58,59)(H,60,61)(H,67,68)(H,69,70)(H4,41,42,49,50,66)/p-6",[H]OC1=NC(=N[H])N([H])C2=C1N([H])C([H])(C([H])([H])N(C([H])=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])C([H])(C([O-])=O)C([H])([H])C([H])([H])C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])N2[H]
10m3hddcaACP,10-methyl-3-hydroxy-dodecanoyl-ACP,C24H45N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11509,,,,,,,,
10m3hundecACP,10-methyl-3-hydroxy-undecanoyl-ACP,C23H43N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11559,,,,,,,,
10m3oddcaACP,10-methyl-3-oxo-dodecanoyl-ACP,C24H43N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11508,,,,,,,,
10m3oundecACP,10-methyl-3-oxo-undecanoyl-ACP,C23H41N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11558,,,,,,,,
10mddcaACP,10-methyl-dodecanoyl-ACP,C24H45N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11511,,,,,,,,
10mtddec2eACP,10-methyl-trans-dodec-2-enoyl-ACP,C24H43N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11510,,,,,,,,
10mtundec2eACP,10-methyl-trans-undec-2-enoyl-ACP,C23H41N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11560,,,,,,,,
10mundecACP,10-methyl-undecanoyl-ACP,C23H43N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11561,,,,,,,,
11m3hddcaACP,11-methyl-3-hydroxy-dodecanoyl-ACP,C24H45N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11534,,,,,,,,
11m3oddcaACP,11-methyl-3-oxo-dodecanoyl-ACP,C24H43N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11533,,,,,,,,
11mddcaACP,11-methyl-dodecanoyl-ACP,C24H45N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11536,,,,,,,,
11mtddec2eACP,11-methyl-trans-dodec-2-enoyl-ACP,C24H43N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11535,,,,,,,,
12daihdglyc,"1,2-Dianteisoheptadecanoyl-sn-glycerol",C37H72O5,0,0,0,,,,,,,,,,,,,,cpd15702,,,,,,,,
12daipdglyc,"1,2-Dianteisopentadecanoyl-sn-glycerol",C33H64O5,0,0,0,,,,,,,,,,,,,,cpd15705,,,,,,,,
12dgr120,"1,2-Diacyl-Sn-Glycerol (Didodecanoyl, N-C12:0)",C27H52O5,0,0,0,,,,,,12dgr120,12dgr120,,,,12dgr120,,,cpd15306,MNXM4939,,,,,OQQOAWVKVDAJOI-UHFFFAOYSA-N,"InChI=1S/C27H52O5/c1-3-5-7-9-11-13-15-17-19-21-26(29)31-24-25(23-28)32-27(30)22-20-18-16-14-12-10-8-6-4-2/h25,28H,3-24H2,1-2H3",[H]OC([H])([H])C([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
12dgr140,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",C31H60O5,0,0,0,,,,,,,,,,,12dgr140,,,cpd15307,MNXM146479,,,,,,,
12dgr141,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",C31H56O5,0,0,0,,,,,,,,,,,12dgr141,,,cpd15308,MNXM4940,,,,,,,
12dgr160,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)",C35H68O5,0,0,0,,,,,,,,,,,12dgr160,,,cpd15309,MNXM3132,,,,,,,
12dgr161,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)",C35H64O5,0,0,0,,,,,,,,,,,12dgr161,,,cpd15310,MNXM3774,,,,,,,
12dgr180,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C39H76O5,0,0,0,,,,,,,,,,,12dgr180,,,cpd15311,MNXM4217,,,,,,,
12dgr181,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",C39H72O5,0,0,0,,,,,,,,,,,12dgr181,,,cpd15312,MNXM3775,,,,,,,
12dhchol,"12-Dehydrocholic acid; 12-Oxodeoxycholic acid; 12oxo-3alpha,7alpha-Dihydroxy-5beta-cholan-24-oic acid",C24H37O5,-1,0,0,,,,,,,12dhchol,,,,,,,,,,,,,,,
12dihdglyc,"1,2-Diisoheptadecanoyl-sn-glycerol",C37H72O5,0,0,0,,,,,,,,,,,,,,cpd15701,,,,,,,,
12dipdglyc,"1,2-Diisopentadecanoyl-sn-glycerol",C33H64O5,0,0,0,,,,,,,,,,,,,,cpd15704,,,,,,,,
12ditdglyc,"1,2-Diisotetradecanoyl-sn-glycerol",C31H60O5,0,0,0,,,,,,,,,,,,,,cpd15703,,,,,,,,
12dixdglyc,"1,2-Diisohexadecanoyl-sn-glycerol",C35H68O5,0,0,0,,,,,,,,,,,,,,cpd15706,,,,,,,,
12ethd,"1,2-Ethanediol",C2H6O2,0,0,0,,,,HMDB0037790,,,,,,,,,,cpd00992,,,,,,,,
12m3hmyrsACP,12-methyl-3-hydroxy-tetra-decanoyl-ACP,C26H49N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11513,,,,,,,,
12m3htridecACP,12-methyl-3-hydroxy-tridecanoyl-ACP,C25H47N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11563,,,,,,,,
12m3omyrsACP,12-methyl-3-oxo-tetra-decanoyl-ACP,C26H47N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11512,,,,,,,,
12m3otridecACP,12-methyl-3-oxo-tridecanoyl-ACP,C25H45N2O9PRS,-1,0,0,,,,,,,,,,,,,,cpd11562,,,,,,,,
12mmyrsACP,12-methyl-tetra-decanoyl-ACP,C26H49N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11515,,,,,,,,
12mtmrs2eACP,12-methyl-trans-tetra-dec-2-enoyl-ACP,C26H47N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11514,,,,,,,,
12mtridecACP,12-methyl-tridecanoyl-ACP,C25H47N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11565,,,,,,,,
12mttritec2eACP,12-methyl-trans-tridec-2-enoyl-ACP,C25H45N2O8PRS,-1,0,0,,,,,,,,,,,,,,cpd11564,,,,,,,,
12npthldl,"1,2-Naphthalenediol",C10H8O2,0,0,0,,,,HMDB0060497,,,,,,,,,,cpd01932,,,,,,,,
