strain,species,genus,family,order,class,phylum,kingdom,id,genbank,intercept,slope,rate,rsquared,pval
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260132,CP030777,2.56035988633218,3.88402182323244e-05,2.38760977155792,0.982862033828745,0
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260132,CP024160,1.63147131496127,5.44917953083832e-05,2.45889984476316,0.986757215341775,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260132,CP012098,0.756156872025836,5.02927698120964e-05,2.2800512292441,0.984609699681643,0
Bacteroides caccae,Bacteroides caccae,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260132,CP022412,1.47527141890674,1.05311932158424e-05,1.40965993213258,0.985295030494556,0
Bifidobacterium adolescentis ATCC 15703,Bifidobacterium adolescentis,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260132,AP009256,3.09242379148311,4.70503904918416e-05,2.04087374113381,0.901868911743393,0
Bifidobacterium dentium JCM 1195 = DSM 20436,Bifidobacterium dentium,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260132,AP012326,0.756790126548203,2.5108440076392e-05,1.49003163866209,0.992522989641926,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260132,FP929053,0.980212836908753,4.25673185335334e-05,2.6653232526812,0.989280360409776,0
Bifidobacterium longum NCC2705,Bifidobacterium longum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260132,AE014295,2.00058861026042,4.61715986916522e-05,2.15449564484698,0.917036634624488,0
[Eubacterium] rectale ATCC 33656,[Eubacterium] rectale,"",Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260132,CP001107,4.80104318794558,3.79464402712697e-05,2.15610116863245,0.800786418343609,0
Adlercreutzia equolifaciens DSM 19450,Adlercreutzia equolifaciens,Adlercreutzia,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinobacteria,Bacteria,ERR260134,AP013105,1.90702011393571,5.30047707459326e-05,2.68061903266083,0.920117954773634,0
Streptococcus thermophilus JIM 8232,Streptococcus thermophilus,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260134,FR875178,4.25360314378928,6.02151165140215e-05,2.32013803909123,0.93476214374994,0
