strain,species,genus,family,order,class,phylum,kingdom,id,genbank,intercept,slope,rate,rsquared,pval
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260132,CP030777,2.54137222462388,4.22991232868499e-05,2.73302173962347,0.954815420683106,0
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260132,CP024160,1.62856181539866,5.77911811498864e-05,2.90462729234523,0.972302526958516,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260132,CP012098,0.735000301515668,6.34807256050384e-05,5.00915770048684,0.861850609529616,0
Bacteroides caccae,Bacteroides caccae,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260132,CP022412,1.47459456797681,1.11531818447425e-05,1.50358093596241,0.91964590847353,0
Bifidobacterium adolescentis ATCC 15703,Bifidobacterium adolescentis,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260132,AP009256,3.12234239022066,4.43056801627708e-05,2.09740813487194,0.92871843962569,0
Bifidobacterium dentium JCM 1195 = DSM 20436,Bifidobacterium dentium,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260132,AP012326,0.733361277222009,3.21579747124432e-05,1.97009754112697,0.720797145896677,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260132,FP929053,0.921480620772806,5.33754931628832e-05,4.54509777049595,0.875189181621875,0
Bifidobacterium longum NCC2705,Bifidobacterium longum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260132,AE014295,2.02290908668662,4.45992806036882e-05,2.23713361890655,0.938976909392015,0
[Eubacterium] rectale ATCC 33656,Eubacterium rectale,Eubacterium,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260132,CP001107,4.91660197797159,3.03306925438202e-05,2.30958176221805,0.84042835989601,0
Adlercreutzia equolifaciens DSM 19450,Adlercreutzia equolifaciens,Adlercreutzia,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinobacteria,Bacteria,ERR260134,AP013105,1.97125774294961,4.97523085529603e-05,3.12482292683878,0.951576433948213,0
Streptococcus thermophilus JIM 8232,Streptococcus thermophilus,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260134,FR875178,4.27969608541698,5.83639780847127e-05,2.46255193846976,0.957034495218966,0
Streptococcus sp. HSISM1,Streptococcus sp. HSISM1,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260134,CM002128,1.72378771858257,0.000117136809016313,8.91525792076602,0.991988753556948,0
Streptococcus parasanguinis ATCC 15912,Streptococcus parasanguinis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260134,CP002843,1.96337391746864,0.000103249582713165,5.92387212438944,0.99233172155631,0
Oscillibacter sp. PEA192,Oscillibacter sp. PEA192,Oscillibacter,Oscillospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260134,AP018532,0.712673223700481,3.38618672692907e-05,2.45838994592003,0.757782382157084,0
