samples,kingdom,phylum,class,order,family,genus,species,oxygenstat,metabolism,gram,mtype,genes,file,reads,relative,taxa_id
ERR260132,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,45332,0.00392910620721121,1681.0
ERR260134,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,2785,0.000107115207463311,1681.0
ERR260138,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,3807,0.00038816934869221,1681.0
ERR260139,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,174448,0.0260395372626393,1681.0
ERR260142,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,1720,0.000241814100630094,1681.0
ERR260143,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,2172,0.000282541694087217,1681.0
ERR260151,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,324,9.09015922928917e-05,1681.0
ERR260152,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,870,0.00022052935663982202,1681.0
ERR260154,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,50279,0.005421062562333221,1681.0
ERR260158,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,4124,0.00105230899405231,1681.0
ERR260161,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,186776,0.0117617321035916,1681.0
ERR260166,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,614,6.64088833887047e-05,1681.0
ERR260172,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,10676,0.000494572557236142,1681.0
ERR260173,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,505,Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml,98524,0.0058557001755985,1681.0
