,tradeoff,rho,p,n
0,0.1,0.045888060410818735,0.12601985335502117,1113.0
1,0.2,0.08170970965819144,0.0063822113197362544,1113.0
2,0.3,0.10191246854237479,0.0006615993889867877,1113.0
3,0.4,0.12772705857593114,1.9207096563652562e-05,1113.0
4,0.5,0.14668545753898898,8.888316418673527e-07,1113.0
5,0.6,0.21081666654078887,1.2006965677599942e-12,1113.0
6,0.7,0.21347723106284827,6.151943163653005e-13,1113.0
7,0.8,0.09437257062242384,0.0016219845082217162,1113.0
8,0.9,0.0508579745314696,0.08990535459021126,1113.0
9,1.0,0.03699394212668854,0.21749576987666033,1113.0
10,none,-0.026345785702343413,0.3798874016535077,1113.0
