,tradeoff,id,rho,p,n
0,0.1,ERR260132,0.16198465782101276,0.794660257605457,5.0
1,0.1,ERR260134,-0.1264710238175298,0.6533326968329312,15.0
2,0.1,ERR260138,-0.17782491099171646,0.6735405193494929,8.0
3,0.1,ERR260139,-0.16954976127727572,0.7481123918821226,6.0
4,0.1,ERR260140,,,2.0
5,0.1,ERR260142,0.060441163704879855,0.8869485151823232,8.0
6,0.1,ERR260143,-0.2640184109045131,0.5672451609942112,7.0
7,0.1,ERR260150,-0.18939874422327624,0.6532785730818883,8.0
8,0.1,ERR260151,,,1.0
9,0.1,ERR260152,0.9780235031713569,0.13371278459600183,3.0
10,0.1,ERR260154,0.19886551027281865,0.6690313415555705,7.0
11,0.1,ERR260158,,,2.0
12,0.1,ERR260161,-0.48141249474327075,0.18948802219314131,9.0
13,0.1,ERR260162,0.5368753113144259,0.1095685283158511,10.0
14,0.1,ERR260164,0.8937132867414985,0.0011600076370005268,9.0
15,0.1,ERR260165,-0.08522542856295454,0.8724713692226469,6.0
16,0.1,ERR260166,0.11660413725093852,0.7833409229326425,8.0
17,0.1,ERR260167,-0.12439439903904523,0.7320589662815233,10.0
18,0.1,ERR260172,-0.16235397593946374,0.6540648696567386,10.0
19,0.1,ERR260173,-0.10544401482277033,0.6975358389734924,16.0
20,0.1,ERR260174,-0.21174234388806615,0.6871331991258679,6.0
21,0.1,ERR260177,0.09245608569103307,0.8276302139433644,8.0
22,0.1,ERR260180,0.7420494263686848,0.09122592573492713,6.0
23,0.1,ERR260181,0.1357164175750271,0.7277294006966464,9.0
24,0.1,ERR260182,-0.01915148024044654,0.9581214993901771,10.0
25,0.1,ERR260185,-0.3955423353634648,0.43762853561781806,6.0
26,0.1,ERR260186,0.5443869890421866,0.1296743228216146,9.0
27,0.1,ERR260189,-0.37128445031265356,0.3252150015861699,9.0
28,0.1,ERR260194,0.18393954010091673,0.6109717339697804,10.0
29,0.1,ERR260195,0.7258717085283192,0.06477213424576118,7.0
30,0.1,ERR260198,0.262071013036063,0.4105871004593653,12.0
31,0.1,ERR260199,0.6446530702775188,0.16697207635467542,6.0
32,0.1,ERR260200,0.3043101250311075,0.4636655639956727,8.0
33,0.1,ERR260203,0.143223016584585,0.7351066317680038,8.0
34,0.1,ERR260204,0.08004897929336735,0.8801830015491002,6.0
35,0.1,ERR260206,0.9697036666250388,0.1571059953875855,3.0
36,0.1,ERR260214,-0.30066003174797357,0.5625992528466436,6.0
37,0.1,ERR260218,,,2.0
38,0.1,ERR260222,-0.36439703132951046,0.6356029686704896,4.0
39,0.1,ERR260223,0.08311024501305685,0.9470292740730257,3.0
40,0.1,ERR260227,-0.7329124401266541,0.26708755987334587,4.0
41,0.1,ERR260230,0.9840774834641525,0.002406087615388977,5.0
42,0.1,ERR260231,0.3539329705712867,0.6460670294287133,4.0
