compartments,abundance,growth_rate,reactions,metabolites,tradeoff,sample
Alistipes,0.009613718821002988,51.236447803405625,2650,1613,,ERR321376
Anaerostipes,0.005572741333818579,0.0,2034,1491,,ERR321376
Bacteroides,0.7219770721499409,0.0,3307,1887,,ERR321376
Blautia,0.007152489645949426,1.3460343950555398e-12,3108,1818,,ERR321376
Clostridium,0.001248530865228462,0.0,3532,2001,,ERR321376
Coprococcus,0.0014600987358274454,0.0,2188,1591,,ERR321376
Eubacterium,0.11043624734060122,-4.671818487622659e-13,2482,1761,,ERR321376
Faecalibacterium,0.0014647725474017969,0.0,1986,1472,,ERR321376
Odoribacter,0.009814692718700106,0.0,2526,1594,,ERR321376
Parabacteroides,0.11387056408543478,0.0,2870,1747,,ERR321376
Roseburia,0.009291848997249306,0.0,2357,1567,,ERR321376
Ruminococcus,0.008097222758845033,0.0,2983,1793,,ERR321376
medium,,,756,756,,ERR321376
Alistipes,0.009613718821002988,3.5296255491497135,2650,1613,1.0,ERR321376
Anaerostipes,0.005572741333818579,0.005796370029737409,2034,1491,1.0,ERR321376
Bacteroides,0.7219770721499409,0.037674987275069315,3307,1887,1.0,ERR321376
Blautia,0.007152489645949426,0.004423166641492766,3108,1818,1.0,ERR321376
Clostridium,0.001248530865228462,1.1356289401780733e-08,3532,2001,1.0,ERR321376
Coprococcus,0.0014600987358274454,0.011734025515587726,2188,1591,1.0,ERR321376
Eubacterium,0.11043624734060122,1.109462331435511e-10,2482,1761,1.0,ERR321376
Faecalibacterium,0.0014647725474017969,0.01076296547999171,1986,1472,1.0,ERR321376
Odoribacter,0.009814692718700106,3.6010122241628677,2526,1594,1.0,ERR321376
Parabacteroides,0.11387056408543478,2.8488308897030974,2870,1747,1.0,ERR321376
Roseburia,0.009291848997249306,0.00034566687660876643,2357,1567,1.0,ERR321376
Ruminococcus,0.008097222758845033,0.004200471690092254,2983,1793,1.0,ERR321376
medium,,,756,756,1.0,ERR321376
Alistipes,0.009613718821002988,1.7536976750829565,2650,1613,0.9,ERR321376
Anaerostipes,0.005572741333818579,3.0117968225406627e-09,2034,1491,0.9,ERR321376
Bacteroides,0.7219770721499409,5.328861937646517e-10,3307,1887,0.9,ERR321376
Blautia,0.007152489645949426,7.082298401098468e-10,3108,1818,0.9,ERR321376
Clostridium,0.001248530865228462,1.4806401054242993e-09,3532,2001,0.9,ERR321376
Coprococcus,0.0014600987358274454,1.6887200648958781e-09,2188,1591,0.9,ERR321376
Eubacterium,0.11043624734060122,3.200091820968894e-07,2482,1761,0.9,ERR321376
Faecalibacterium,0.0014647725474017969,1.2445028196026505e-09,1986,1472,0.9,ERR321376
Odoribacter,0.009814692718700106,1.7902255008985382,2526,1594,0.9,ERR321376
Parabacteroides,0.11387056408543478,3.3072250223758473,2870,1747,0.9,ERR321376
Roseburia,0.009291848997249306,1.2253834880119886e-09,2357,1567,0.9,ERR321376
Ruminococcus,0.008097222758845033,7.051562137659714e-10,2983,1793,0.9,ERR321376
medium,,,756,756,0.9,ERR321376
Alistipes,0.009613718821002988,0.4104805172941626,2650,1613,0.8,ERR321376
Anaerostipes,0.005572741333818579,0.0006290742435090922,2034,1491,0.8,ERR321376
Bacteroides,0.7219770721499409,0.2876549362063668,3307,1887,0.8,ERR321376
Blautia,0.007152489645949426,0.0004234097730245593,3108,1818,0.8,ERR321376
Clostridium,0.001248530865228462,0.0042529020388072875,3532,2001,0.8,ERR321376
Coprococcus,0.0014600987358274454,0.004804875580153646,2188,1591,0.8,ERR321376
Eubacterium,0.11043624734060122,0.006974223438464859,2482,1761,0.8,ERR321376
Faecalibacterium,0.0014647725474017969,0.002395346920575485,1986,1472,0.8,ERR321376
Odoribacter,0.009814692718700106,0.41899500293493147,2526,1594,0.8,ERR321376
Parabacteroides,0.11387056408543478,1.5229690570103378,2870,1747,0.8,ERR321376
Roseburia,0.009291848997249306,0.0002703523928602989,2357,1567,0.8,ERR321376
Ruminococcus,0.008097222758845033,0.00036726864332628224,2983,1793,0.8,ERR321376
medium,,,756,756,0.8,ERR321376
Alistipes,0.009613718821002988,0.006061747035046408,2650,1613,0.7000000000000001,ERR321376
Anaerostipes,0.005572741333818579,0.003513785756318551,2034,1491,0.7000000000000001,ERR321376
Bacteroides,0.7219770721499409,0.4552288721857766,3307,1887,0.7000000000000001,ERR321376
Blautia,0.007152489645949426,0.004509865923083876,3108,1818,0.7000000000000001,ERR321376
Clostridium,0.001248530865228462,0.000787237331974778,3532,2001,0.7000000000000001,ERR321376
Coprococcus,0.0014600987358274454,0.0009206374143448488,2188,1591,0.7000000000000001,ERR321376
Eubacterium,0.11043624734060122,0.0696334693508048,2482,1761,0.7000000000000001,ERR321376
Faecalibacterium,0.0014647725474017969,0.0009235843970354959,1986,1472,0.7000000000000001,ERR321376
Odoribacter,0.009814692718700106,0.006188467292957208,2526,1594,0.7000000000000001,ERR321376
Parabacteroides,0.11387056408543478,0.07179891226965787,2870,1747,0.7000000000000001,ERR321376
Roseburia,0.009291848997249306,0.00585879815687767,2357,1567,0.7000000000000001,ERR321376
Ruminococcus,0.008097222758845033,0.0051055493680055375,2983,1793,0.7000000000000001,ERR321376
medium,,,756,756,0.7000000000000001,ERR321376
Alistipes,0.009613718821002988,0.00519578317562206,2650,1613,0.6,ERR321376
Anaerostipes,0.005572741333818579,0.003011816372904194,2034,1491,0.6,ERR321376
Bacteroides,0.7219770721499409,0.39019617615768476,3307,1887,0.6,ERR321376
Blautia,0.007152489645949426,0.0038655993683012575,3108,1818,0.6,ERR321376
Clostridium,0.001248530865228462,0.000674775076821297,3532,2001,0.6,ERR321376
Coprococcus,0.0014600987358274454,0.0007891179473636851,2188,1591,0.6,ERR321376
Eubacterium,0.11043624734060122,0.059685830873097194,2482,1761,0.6,ERR321376
Faecalibacterium,0.0014647725474017969,0.0007916439315401775,1986,1472,0.6,ERR321376
Odoribacter,0.009814692718700106,0.005304400539408039,2526,1594,0.6,ERR321376
Parabacteroides,0.11387056408543478,0.06154192480303435,2870,1747,0.6,ERR321376
Roseburia,0.009291848997249306,0.005021826994599677,2357,1567,0.6,ERR321376
Ruminococcus,0.008097222758845033,0.004376185176741605,2983,1793,0.6,ERR321376
medium,,,756,756,0.6,ERR321376
Alistipes,0.009613718821002988,0.004329819312741694,2650,1613,0.5,ERR321376
Anaerostipes,0.005572741333818579,0.002509846989253578,2034,1491,0.5,ERR321376
Bacteroides,0.7219770721499409,0.3251634800906514,3307,1887,0.5,ERR321376
